serial_number,duration,health_risk_score,smart_5_raw,smart_197_raw,smart_198_raw,temp_max,smart_9_raw
2128E5B7437B,89,108.0,10.0,1.0,0.0,53.0,13332.955555555556
2128E5B74387,89,12.0,0.0,1.0,0.0,57.0,7462.866666666667
2051E4E09F71,89,10.0,0.0,1.0,0.0,55.0,10582.111111111111
2128E5B74358,89,10.0,0.0,1.0,0.0,55.0,10611.666666666666
2128E5B7435D,89,10.0,0.0,1.0,0.0,55.0,11036.866666666667
2128E5B74380,89,10.0,0.0,1.0,0.0,55.0,11751.655555555555
2128E5B743B4,89,10.0,0.0,1.0,0.0,55.0,10514.193181818182
2205E606702C,89,10.0,1.0,0.0,0.0,40.0,21401.244444444445
2205E606845F,89,10.0,1.0,0.0,0.0,36.0,12412.0
2332E86B305B,89,10.0,1.0,0.0,0.0,32.0,9255.477777777778
2205E606845C,89,10.0,1.0,0.0,0.0,42.0,16188.288888888888
2205E6068463,89,10.0,0.0,2.0,0.0,40.0,21826.722222222223
2205E60686D1,89,10.0,0.0,2.0,0.0,41.0,21901.444444444445
2128E5B74365,89,9.0,0.0,1.0,0.0,54.0,10277.744444444445
2128E5B7438C,89,9.0,0.0,1.0,0.0,54.0,10949.711111111112
2141E5D932B4,89,9.0,0.0,1.0,0.0,54.0,7801.533333333334
2141E5D932B6,89,9.0,0.0,1.0,0.0,54.0,10908.41111111111
2128E5B74366,89,8.0,0.0,1.0,0.0,53.0,7238.111111111111
2128E5B7438E,89,8.0,0.0,1.0,0.0,53.0,11574.511111111111
2128E5B74399,89,8.0,0.0,1.0,0.0,53.0,11190.477777777778
2128E5B74383,89,7.888888888888888,0.28888888888888886,1.0,0.0,46.0,8519.788888888888
2128E5B74368,89,7.0,0.0,1.0,0.0,52.0,12782.955555555556
2128E5B74373,89,7.0,0.0,1.0,0.0,52.0,10443.044444444444
2141E5D932B7,89,7.0,0.0,1.0,0.0,52.0,13517.8
2102E4E5E64F,89,6.0,0.0,1.0,0.0,51.0,8669.222222222223
2107E4F8D8A6,89,6.0,0.0,1.0,0.0,51.0,12866.577777777778
2111E58A7274,89,6.0,0.0,1.0,0.0,51.0,11141.855555555556
2128E5B7435F,89,6.0,0.0,1.0,0.0,51.0,12934.366666666667
2141E5D932B8,89,6.0,0.0,1.0,0.0,51.0,11518.755555555555
2102E4E70D29,89,5.0,0.0,1.0,0.0,50.0,8166.211111111111
2103E4E8B025,89,5.0,0.0,1.0,0.0,50.0,13199.655555555555
2107E4F8AC95,89,5.0,0.0,1.0,0.0,46.0,12739.422222222222
2107E4F8B157,89,5.0,0.0,1.0,0.0,48.0,11040.633333333333
2111E58A0B05,89,5.0,0.0,1.0,0.0,49.0,12840.955555555556
2111E58A4B87,89,5.0,0.0,1.0,0.0,50.0,10105.894117647058
2128E5B7435B,89,5.0,0.0,1.0,0.0,49.0,12973.133333333333
2128E5B7435C,89,5.0,0.0,1.0,0.0,47.0,10952.4
2128E5B7435E,89,5.0,0.0,1.0,0.0,45.0,9223.511111111111
2128E5B74361,89,5.0,0.0,1.0,0.0,44.0,9277.865168539325
2128E5B74367,89,5.0,0.0,1.0,0.0,50.0,11173.055555555555
2128E5B7436F,89,5.0,0.0,1.0,0.0,48.0,12368.6
2128E5B74370,89,5.0,0.0,1.0,0.0,47.0,8647.222222222223
2128E5B74374,89,5.0,0.0,1.0,0.0,43.0,9140.4
2128E5B74378,89,5.0,0.0,1.0,0.0,43.0,8641.711111111112
2128E5B74379,89,5.0,0.0,1.0,0.0,40.0,11194.766666666666
2128E5B74388,89,5.0,0.0,1.0,0.0,41.0,8465.477777777778
2128E5B7438A,89,5.0,0.0,1.0,0.0,50.0,9857.233333333334
2128E5B7438D,89,5.0,0.0,1.0,0.0,49.0,13011.477777777778
2128E5B74398,89,5.0,0.0,1.0,0.0,46.0,9836.966666666667
2128E5B743B1,89,5.0,0.0,1.0,0.0,48.0,11748.2
