serial_number,start_date,end_date,duration,event,smart_5_raw,smart_9_raw,smart_187_raw,smart_197_raw,smart_198_raw,temp_mean,temp_max,temp_std,delta_smart_5_raw,delta_smart_196_raw,slope_smart_5_raw,slope_smart_196_raw,pending_present,age_years,log_age,health_risk_score
2051E4E09F71,2025-01-01,2025-03-31,89,0,0.0,10582.111111111111,0.0,1.0,0.0,45.955555555555556,55.0,2.5901999541481473,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,10.0
2102E4E5E64F,2025-01-01,2025-03-31,89,0,0.0,8669.222222222223,0.0,1.0,0.0,43.8,51.0,2.0933757957477392,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,6.0
2102E4E70D29,2025-01-01,2025-03-31,89,0,0.0,8166.211111111111,0.0,1.0,0.0,42.17777777777778,50.0,1.9864976313869749,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2103E4E8B025,2025-01-01,2025-03-31,89,0,0.0,13199.655555555555,0.0,1.0,0.0,41.94444444444444,50.0,2.267456289477594,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2107E4F8AC95,2025-01-01,2025-03-31,89,0,0.0,12739.422222222222,0.0,1.0,0.0,37.7,46.0,3.4623370398876014,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2107E4F8B157,2025-01-01,2025-03-31,89,0,0.0,11040.633333333333,0.0,1.0,0.0,40.388888888888886,48.0,3.3753829229501577,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2107E4F8D8A6,2025-01-01,2025-03-31,89,0,0.0,12866.577777777778,0.0,1.0,0.0,40.41111111111111,51.0,2.5161453961011486,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,6.0
2110E5867FA6,2025-01-01,2025-03-31,89,0,0.0,9413.18888888889,0.0,0.0,0.0,41.422222222222224,47.0,1.813393245197619,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2111E58A0B05,2025-01-01,2025-03-31,89,0,0.0,12840.955555555556,0.0,1.0,0.0,41.87777777777778,49.0,2.5812476646328477,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2111E58A4B87,2025-01-01,2025-03-31,89,0,0.0,10105.894117647058,0.0,1.0,0.0,39.71764705882353,50.0,1.6564438500515537,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2111E58A7274,2025-01-01,2025-03-31,89,0,0.0,11141.855555555556,0.0,1.0,0.0,42.84444444444444,51.0,3.483009908784604,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,6.0
2128E5B74358,2025-01-01,2025-03-31,89,0,0.0,10611.666666666666,0.0,1.0,0.0,45.111111111111114,55.0,2.8458329944145335,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,10.0
2128E5B7435B,2025-01-01,2025-03-31,89,0,0.0,12973.133333333333,0.0,1.0,0.0,44.18888888888889,49.0,2.2602578242533764,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B7435C,2025-01-01,2025-03-31,89,0,0.0,10952.4,0.0,1.0,0.0,38.733333333333334,47.0,3.154538177152244,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B7435D,2025-01-01,2025-03-31,89,0,0.0,11036.866666666667,0.0,1.0,0.0,42.644444444444446,55.0,3.8248053287022215,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,10.0
2128E5B7435E,2025-01-01,2025-03-31,89,0,0.0,9223.511111111111,0.0,1.0,0.0,37.74444444444445,45.0,1.6704032188606968,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B7435F,2025-01-01,2025-03-31,89,0,0.0,12934.366666666667,0.0,1.0,0.0,44.3,51.0,1.911660127858665,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,6.0
2128E5B74361,2025-01-01,2025-03-31,89,0,0.0,9277.865168539325,0.0,1.0,0.0,36.59550561797753,44.0,1.7007539710942836,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B74365,2025-01-01,2025-03-31,89,0,0.0,10277.744444444445,0.0,1.0,0.0,45.63333333333333,54.0,1.9058389811896561,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,9.0
2128E5B74366,2025-01-01,2025-03-31,89,0,0.0,7238.111111111111,0.0,1.0,0.0,46.955555555555556,53.0,1.902694645385881,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,8.0
2128E5B74367,2025-01-01,2025-03-31,89,0,0.0,11173.055555555555,0.0,1.0,0.0,42.13333333333333,50.0,2.8643401411921317,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B74368,2025-01-01,2025-03-31,89,0,0.0,12782.955555555556,0.0,1.0,0.0,43.58888888888889,52.0,2.8240807528761276,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,7.0
2128E5B7436C,2025-01-01,2025-03-31,89,0,0.0,7217.166666666667,0.0,0.0,0.0,46.544444444444444,50.0,2.006440248085068,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2128E5B7436F,2025-01-01,2025-03-31,89,0,0.0,12368.6,0.0,1.0,0.0,44.41111111111111,48.0,1.8492908216961816,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B74370,2025-01-01,2025-03-31,89,0,0.0,8647.222222222223,0.0,1.0,0.0,41.63333333333333,47.0,1.9745604292826555,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B74373,2025-01-01,2025-03-31,89,0,0.0,10443.044444444444,0.0,1.0,0.0,47.22222222222222,52.0,0.9975278083318205,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,7.0
2128E5B74374,2025-01-01,2025-03-31,89,0,0.0,9140.4,0.0,1.0,0.0,34.65555555555556,43.0,2.548032404778708,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B74378,2025-01-01,2025-03-31,89,0,0.0,8641.711111111112,0.0,1.0,0.0,36.22222222222222,43.0,1.331480193684039,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B74379,2025-01-01,2025-03-31,89,0,0.0,11194.766666666666,0.0,1.0,0.0,34.111111111111114,40.0,1.6016966313148422,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B7437B,2025-01-01,2025-03-31,89,0,10.0,13332.955555555556,0.0,1.0,0.0,44.5,53.0,2.5440562537456146,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,108.0
2128E5B74380,2025-01-01,2025-03-31,89,0,0.0,11751.655555555555,0.0,1.0,0.0,42.91111111111111,55.0,3.472573315582934,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,10.0
2128E5B74383,2025-01-01,2025-03-31,89,0,0.28888888888888886,8519.788888888888,0.0,1.0,0.0,38.72222222222222,46.0,2.1135950299471347,2.0,2.0,0.02247191011235955,0.02247191011235955,1,0.24383561643835616,4.499809670330265,7.888888888888888
2128E5B74387,2025-01-01,2025-03-31,89,0,0.0,7462.866666666667,0.0,1.0,0.0,40.87777777777778,57.0,2.4622833927419583,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,12.0
2128E5B74388,2025-01-01,2025-03-31,89,0,0.0,8465.477777777778,0.0,1.0,0.0,33.333333333333336,41.0,2.2310934040908386,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B7438A,2025-01-01,2025-03-31,89,0,0.0,9857.233333333334,0.0,1.0,0.0,42.0,50.0,1.8378731669453519,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B7438C,2025-01-01,2025-03-31,89,0,0.0,10949.711111111112,0.0,1.0,0.0,44.06666666666667,54.0,3.635626187849578,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,9.0
