,count,mean,std,min,25%,50%,75%,max
smart_5_raw,709.0,0.020153580943425797,0.3828887458291778,0.0,0.0,0.0,0.0,10.0
smart_9_raw,709.0,18477.086659375767,7253.236081434591,184.4,12397.833333333334,20606.67777777778,23730.477777777778,28468.922222222223
smart_187_raw,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smart_197_raw,709.0,0.15796897038081806,0.3726289927896663,0.0,0.0,0.0,0.0,2.0
smart_198_raw,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temp_mean,709.0,35.41352560014997,5.081433108807543,25.0,31.866666666666667,36.75555555555555,39.111111111111114,48.91111111111111
temp_max,709.0,39.119887165021154,5.293478771221679,26.0,36.0,40.0,42.0,57.0
temp_std,709.0,1.2896969110702259,0.9240515862892711,0.0,0.6333333333331052,0.9030127899235023,1.7708197167232138,4.9053888231385745
delta_smart_5_raw,709.0,0.0028208744710860366,0.07511157661886796,0.0,0.0,0.0,0.0,2.0
delta_smart_196_raw,709.0,0.0028208744710860366,0.07511157661886796,0.0,0.0,0.0,0.0,2.0
slope_smart_5_raw,709.0,3.16952187762476e-05,0.0008439502990884041,0.0,0.0,0.0,0.0,0.02247191011235955
slope_smart_196_raw,709.0,3.16952187762476e-05,0.0008439502990884041,0.0,0.0,0.0,0.0,0.02247191011235955
pending_present,709.0,0.15514809590973203,0.3623013959163713,0.0,0.0,0.0,0.0,1.0
age_years,709.0,0.24154027474544507,0.016504763244335457,0.038356164383561646,0.24383561643835616,0.24383561643835616,0.24383561643835616,0.24383561643835616
log_age,709.0,4.486050880053408,0.11259628612035368,2.70805020110221,4.499809670330265,4.499809670330265,4.499809670330265,4.499809670330265
